"","ActNonSanteType","V1","perc"
"1","",3,0.00169395821569735
"2","Agriculture-elevage-peche-chasse",57,0.0321852060982496
"3","agriculture_elevage",580,0.327498588368154
"4","autre",69,0.038961038961039
"5","Autres",11,0.0062111801242236
"6","enseignement",11,0.0062111801242236
"7","location maison",3,0.00169395821569735
"8","location moyens de transport",2,0.00112930547713156
"9","location_maison",28,0.0158102766798419
"10","minier",4,0.00225861095426313
"11","negoce-commerce",30,0.0169395821569735
"12","negoce_commerce",198,0.111801242236025
"13","taxi",15,0.00846979107848673
"14","veux_pas_dire",8,0.00451722190852626
