"","Province","Role","Sexe","Nombre"
"1","bandundu","","Femme",1
"2","bandundu","administrateur","Femme",2
"3","bandundu","autre","Femme",33
"4","bandundu","infirmier","Femme",152
"5","bandundu","labo","Femme",6
"6","bandundu","medecin","Femme",0
"7","bandundu","pharmacien","Femme",4
"8","bandundu","","Homme",1
"9","bandundu","administrateur","Homme",7
"10","bandundu","autre","Homme",60
"11","bandundu","infirmier","Homme",175
"12","bandundu","labo","Homme",16
"13","bandundu","medecin","Homme",6
"14","bandundu","pharmacien","Homme",2
"15","equateur","administrateur","Femme",3
"16","equateur","autre","Femme",4
"17","equateur","infirmier","Femme",45
"18","equateur","labo","Femme",1
"19","equateur","medecin","Femme",1
"20","equateur","pharmacien","Femme",9
"21","equateur","administrateur","Homme",1
"22","equateur","autre","Homme",7
"23","equateur","infirmier","Homme",117
"24","equateur","labo","Homme",7
"25","equateur","medecin","Homme",4
"26","equateur","pharmacien","Homme",1
"27","katanga","administrateur","Femme",5
"28","katanga","autre","Femme",21
"29","katanga","infirmier","Femme",100
"30","katanga","labo","Femme",10
"31","katanga","medecin","Femme",1
"32","katanga","pharmacien","Femme",9
"33","katanga","administrateur","Homme",6
"34","katanga","autre","Homme",18
"35","katanga","infirmier","Homme",90
"36","katanga","labo","Homme",18
"37","katanga","medecin","Homme",20
"38","katanga","pharmacien","Homme",6
"39","sud_kivu","administrateur","Femme",5
"40","sud_kivu","autre","Femme",22
"41","sud_kivu","infirmier","Femme",76
"42","sud_kivu","labo","Femme",2
"43","sud_kivu","medecin","Femme",1
"44","sud_kivu","pharmacien","Femme",3
"45","sud_kivu","administrateur","Homme",7
"46","sud_kivu","autre","Homme",19
"47","sud_kivu","infirmier","Homme",125
"48","sud_kivu","labo","Homme",26
"49","sud_kivu","medecin","Homme",2
"50","sud_kivu","pharmacien","Homme",16
