"","Province","Nombre","Immatriculés","Mecanise","Presents","Staff"
"1","bandundu",6,4,4,2,"MCZ"
"2","bandundu",7,3,3,6,"MDH"
"3","bandundu",7,5,1,7,"DN"
"4","bandundu",7,5,4,6,"AG"
"5","bandundu",4,2.85714285714286,1.57142857142857,1.85714285714286,"IS (Nombre moyen)"
"6","equateur",8,8,1,6,"MCZ"
"7","equateur",8,2,0,8,"MDH"
"8","equateur",8,8,4,8,"DN"
"9","equateur",8,6,1,5,"AG"
"10","equateur",2.125,1.75,1.375,1.125,"IS (Nombre moyen)"
"11","katanga",7,5,3,5,"MCZ"
"12","katanga",7,5,4,6,"MDH"
"13","katanga",6,4,2,4,"DN"
"14","katanga",7,1,1,5,"AG"
"15","katanga",5.57142857142857,2.42857142857143,1.57142857142857,1.71428571428571,"IS (Nombre moyen)"
"16","sud_kivu",8,7,0,6,"MCZ"
"17","sud_kivu",8,4,1,5,"MDH"
"18","sud_kivu",8,6,0,8,"DN"
"19","sud_kivu",8,1,0,7,"AG"
"20","sud_kivu",2.375,1.375,0.625,1.75,"IS (Nombre moyen)"
