"","staff_recode","FacLevel","Province","FacRurban","Total","Immatricule_prop","Immatricule_N","Mecanise_prop","Mecanise_N","Present_prop","Present_N"
"1","administrateur","cs","bandundu","rural",10,0.6,6,0,0,0.8,8
"2","administrateur","cs","bandundu","urbain",2,0,0,0,0,0.5,1
"3","administrateur","cs","equateur","rural",1,0,0,0,0,1,1
"4","administrateur","cs","equateur","urbain",4,0.75,3,0.75,3,1,4
"5","administrateur","cs","katanga","rural",3,0,0,0,0,0.666666666666667,2
"6","administrateur","cs","katanga","urbain",20,0.35,7,0.4,8,0.7,14
"7","administrateur","cs","sud_kivu","rural",8,0.25,2,0.125,1,0.5,4
"8","administrateur","cs","sud_kivu","urbain",6,0.666666666666667,4,0,0,1,6
"9","administrateur","ecz","bandundu","rural",5,0.8,4,0.4,2,0.8,4
"10","administrateur","ecz","bandundu","urbain",2,0.5,1,1,2,1,2
"11","administrateur","ecz","equateur","rural",6,0.833333333333333,5,0.166666666666667,1,0.666666666666667,4
"12","administrateur","ecz","equateur","urbain",2,0.5,1,0,0,0.5,1
"13","administrateur","ecz","katanga","rural",2,0,0,0,0,0.5,1
"14","administrateur","ecz","katanga","urbain",4,0.25,1,0.25,1,0.75,3
"15","administrateur","ecz","katanga",NA,1,0,0,0,0,1,1
"16","administrateur","ecz","sud_kivu","rural",7,0.142857142857143,1,0,0,0.857142857142857,6
"17","administrateur","ecz","sud_kivu","urbain",1,0,0,0,0,1,1
"18","administrateur","hgr","bandundu","rural",22,0.363636363636364,8,0.0454545454545455,1,0.863636363636364,19
"19","administrateur","hgr","bandundu","urbain",15,0.2,3,0.133333333333333,2,0.4,6
"20","administrateur","hgr","equateur","rural",6,0,0,0,0,1,6
"21","administrateur","hgr","equateur","urbain",8,0.25,2,0,0,0.75,6
"22","administrateur","hgr","katanga","rural",3,0,0,0,0,1,3
"23","administrateur","hgr","katanga","urbain",6,0.5,3,0.5,3,0.833333333333333,5
"24","administrateur","hgr","sud_kivu","rural",7,0.428571428571429,3,0.142857142857143,1,0.857142857142857,6
"25","administrateur","hgr","sud_kivu","urbain",1,1,1,0,0,1,1
"26","autre","cs","bandundu","rural",187,0.46524064171123,87,0.101604278074866,19,0.748663101604278,140
"27","autre","cs","bandundu","urbain",25,0.28,7,0.08,2,0.4,10
"28","autre","cs","equateur","rural",198,0.328282828282828,65,0.136363636363636,27,0.484848484848485,96
"29","autre","cs","equateur","urbain",155,0.535483870967742,83,0.0645161290322581,10,0.283870967741935,44
"30","autre","cs","katanga","rural",44,0.136363636363636,6,0.272727272727273,12,0.681818181818182,30
"31","autre","cs","katanga","urbain",177,0.096045197740113,17,0.209039548022599,37,0.401129943502825,71
"32","autre","cs","sud_kivu","rural",256,0.2109375,54,0,0,0.68359375,175
"33","autre","cs","sud_kivu","urbain",42,0.380952380952381,16,0,0,0.547619047619048,23
"34","autre","ecz","bandundu","rural",37,0.405405405405405,15,0.135135135135135,5,0.486486486486487,18
"35","autre","ecz","bandundu","urbain",18,0.5,9,0.444444444444444,8,0.666666666666667,12
"36","autre","ecz","equateur","rural",30,0.733333333333333,22,0.2,6,0.633333333333333,19
"37","autre","ecz","equateur","urbain",8,0.375,3,0,0,0.875,7
"38","autre","ecz","katanga","rural",6,0.666666666666667,4,0.333333333333333,2,0.166666666666667,1
"39","autre","ecz","katanga","urbain",22,0.363636363636364,8,0.363636363636364,8,0.772727272727273,17
"40","autre","ecz","katanga",NA,2,1,2,0,0,1,2
"41","autre","ecz","sud_kivu","rural",20,0.4,8,0.05,1,0.8,16
"42","autre","ecz","sud_kivu","urbain",10,0.5,5,0.5,5,0.4,4
"43","autre","hgr","bandundu","rural",91,0.32967032967033,30,0.461538461538462,42,0.340659340659341,31
"44","autre","hgr","bandundu","urbain",85,0.211764705882353,18,0.152941176470588,13,0.541176470588235,46
"45","autre","hgr","equateur","rural",107,0.392523364485981,42,0.252336448598131,27,0.700934579439252,75
"46","autre","hgr","equateur","urbain",83,0.674698795180723,56,0.265060240963855,22,0.265060240963855,22
"47","autre","hgr","katanga","rural",36,0.0555555555555556,2,0,0,0.138888888888889,5
"48","autre","hgr","katanga","urbain",122,0.131147540983607,16,0.319672131147541,39,0.540983606557377,66
"49","autre","hgr","sud_kivu","rural",229,0.414847161572052,95,0.074235807860262,17,0.882096069868996,202
"50","autre","hgr","sud_kivu","urbain",49,0.408163265306122,20,0,0,0.918367346938776,45
"51","infirmier","cs","bandundu","rural",380,0.539473684210526,205,0.121052631578947,46,0.634210526315789,241
"52","infirmier","cs","bandundu","urbain",151,0.384105960264901,58,0.324503311258278,49,0.251655629139073,38
"53","infirmier","cs","equateur","rural",187,0.540106951871658,101,0.25668449197861,48,0.582887700534759,109
"54","infirmier","cs","equateur","urbain",260,0.538461538461538,140,0.226923076923077,59,0.319230769230769,83
"55","infirmier","cs","katanga","rural",109,0.137614678899083,15,0.155963302752294,17,0.825688073394495,90
"56","infirmier","cs","katanga","urbain",357,0.515406162464986,184,0.490196078431373,175,0.535014005602241,191
"57","infirmier","cs","sud_kivu","rural",226,0.358407079646018,81,0.0530973451327434,12,0.765486725663717,173
"58","infirmier","cs","sud_kivu","urbain",70,0.385714285714286,27,0.1,7,0.571428571428571,40
"59","infirmier","ecz","bandundu","rural",27,0.740740740740741,20,0.222222222222222,6,0.518518518518518,14
"60","infirmier","ecz","bandundu","urbain",8,0.625,5,0.75,6,0.75,6
"61","infirmier","ecz","equateur","rural",18,0.888888888888889,16,0.555555555555556,10,0.722222222222222,13
"62","infirmier","ecz","equateur","urbain",7,0.857142857142857,6,0.714285714285714,5,0.571428571428571,4
"63","infirmier","ecz","katanga","rural",16,0.6875,11,0.25,4,0.0625,1
"64","infirmier","ecz","katanga","urbain",24,0.416666666666667,10,0.375,9,0.5,12
"65","infirmier","ecz","katanga",NA,5,0,0,0,0,0.6,3
"66","infirmier","ecz","sud_kivu","rural",23,0.608695652173913,14,0.0869565217391304,2,0.826086956521739,19
"67","infirmier","ecz","sud_kivu","urbain",4,0.75,3,0.75,3,0.75,3
"68","infirmier","hgr","bandundu","rural",189,0.507936507936508,96,0.211640211640212,40,0.391534391534392,74
"69","infirmier","hgr","bandundu","urbain",284,0.633802816901408,180,0.313380281690141,89,0.820422535211268,233
"70","infirmier","hgr","equateur","rural",138,0.63768115942029,88,0.405797101449275,56,0.384057971014493,53
"71","infirmier","hgr","equateur","urbain",258,0.562015503875969,145,0.251937984496124,65,0.151162790697674,39
"72","infirmier","hgr","katanga","rural",41,0.121951219512195,5,0.024390243902439,1,0.560975609756098,23
"73","infirmier","hgr","katanga","urbain",382,0.193717277486911,74,0.547120418848168,209,0.358638743455497,137
"74","infirmier","hgr","sud_kivu","rural",205,0.414634146341463,85,0.0878048780487805,18,0.6,123
"75","infirmier","hgr","sud_kivu","urbain",56,0.5,28,0,0,0.482142857142857,27
"76","labo","cs","bandundu","rural",43,0.465116279069767,20,0.0930232558139535,4,0.604651162790698,26
"77","labo","cs","bandundu","urbain",22,0.272727272727273,6,0.272727272727273,6,0.545454545454545,12
"78","labo","cs","equateur","rural",21,0.666666666666667,14,0.285714285714286,6,0.523809523809524,11
"79","labo","cs","equateur","urbain",23,0.478260869565217,11,0.217391304347826,5,0.478260869565217,11
"80","labo","cs","katanga","rural",6,0.166666666666667,1,0.166666666666667,1,0.5,3
"81","labo","cs","katanga","urbain",53,0.188679245283019,10,0.245283018867925,13,0.641509433962264,34
